,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
193,PsYch0 RIZO,,318,1.1,226.4,1.15,75%,144.5,0.84,0.39,0.1,0.1,34%,18%,8/45,29,266,232,124,32,31
194,Less LOUD,,440,1.1,221.3,1.2,74%,152.2,0.78,0.24,0.11,0.07,26%,15%,9/61,24,345,288,104,47,31
195,SpYzera FLC,(+3),388,1.1,214.1,1.08,76%,139.5,0.73,0.33,0.1,0.09,28%,9%,3/34,25,283,262,127,37,34
196,Feniz 6K,,267,1.1,235.8,1.27,77%,157.4,0.85,0.2,0.07,0.05,22%,12%,6/50,28,226,178,53,20,14
197,MiniBoo CASE,(+1),478,1.1,241.7,1.13,72%,154.3,0.85,0.22,0.22,0.19,37%,23%,5/22,32,405,360,107,104,90
198,TTyke 3E,(+1),459,1.1,249.1,1.16,74%,158.0,0.85,0.18,0.2,0.13,32%,14%,8/57,28,392,339,83,94,59
199,furbsa Torc,(+4),518,1.1,235.3,1.19,70%,151.8,0.84,0.18,0.19,0.12,32%,10%,4/41,28,437,366,94,101,62
200,Psyche FCTP,(+3),253,1.1,226.1,1.16,72%,149.4,0.78,0.22,0.13,0.13,29%,11%,4/36,27,198,171,55,34,33
201,Grmekista DIA,(+2),227,1.1,193.4,1.1,72%,129.2,0.7,0.23,0.11,0.1,22%,30%,10/33,20,158,143,53,25,22
202,Japips OGT.X,,431,1.1,200.5,1.11,77%,129.5,0.73,0.31,0.04,0.07,25%,9%,6/64,24,314,282,133,16,32
203,flare,(+4),289,1.1,226.8,1.13,76%,148.5,0.82,0.34,0.08,0.11,21%,9%,3/33,31,237,210,99,22,31
204,Avez NASR,(+2),381,1.09,226.9,1.14,73%,146.0,0.81,0.41,0.13,0.11,27%,21%,6/28,31,307,270,157,50,42
205,rDeeW 95x,(+7),358,1.09,216.1,1.14,74%,142.3,0.77,0.26,0.11,0.1,20%,17%,9/53,25,275,242,94,40,36
206,Mimori DIVI,(+3),348,1.09,217.5,1.07,75%,140.4,0.76,0.32,0.11,0.09,35%,21%,10/48,28,265,247,113,38,33
207,tokyo NBG,,521,1.09,241.9,1.19,72%,160.7,0.86,0.21,0.18,0.12,29%,17%,12/69,30,449,376,107,95,63
208,UNCAGED Siss,,587,1.09,210.8,1.2,72%,141.6,0.78,0.13,0.1,0.05,29%,18%,17/94,24,455,379,74,56,27
209,johnqt M80,(+1),404,1.09,184.3,1.12,78%,125.1,0.66,0.28,0.06,0.05,24%,23%,14/61,19,265,237,113,23,21
210,wackie DSY,,202,1.09,238.0,1.16,71%,163.3,0.8,0.19,0.12,0.14,22%,10%,2/20,22,161,139,39,24,28
211,L4CE COL,(+3),565,1.09,212.5,1.12,75%,143.2,0.74,0.34,0.06,0.07,27%,18%,19/106,30,416,372,190,32,38
212,musashi ACE,(+1),275,1.09,230.6,1.14,75%,150.2,0.79,0.33,0.12,0.11,24%,11%,2/18,30,216,190,92,33,30
213,tex TGRD,,427,1.09,225.4,1.18,72%,142.9,0.82,0.13,0.2,0.14,31%,20%,5/25,36,349,296,57,86,61
214,Alluka RRQ.K,(+1),315,1.09,234.9,1.12,77%,151.3,0.82,0.45,0.12,0.09,21%,8%,3/37,26,259,231,143,39,27
215,hellff VLTG,,210,1.09,199.1,1.07,79%,127.3,0.7,0.37,0.1,0.09,29%,27%,6/22,22,148,138,77,21,19
216,Rebo YFP,(+1),236,1.09,205.6,1.14,71%,130.0,0.69,0.33,0.11,0.1,24%,15%,4/26,20,164,144,79,25,23
217,AslaN S2G,(+1),250,1.09,182.8,1.0,74%,119.8,0.61,0.5,0.06,0.08,21%,9%,2/23,21,153,153,126,15,19
218,bdog SR,(+1),373,1.09,232.9,1.2,73%,147.4,0.83,0.25,0.16,0.15,21%,14%,5/37,28,308,257,94,60,56
219,nzr LEV,(+2),331,1.09,173.0,1.05,78%,114.1,0.6,0.38,0.05,0.05,20%,11%,5/45,21,199,190,127,18,15
220,SWERL RNG,(+1),315,1.09,254.3,1.19,68%,170.9,0.86,0.2,0.18,0.14,26%,18%,4/22,40,272,228,63,56,44
221,Elite SUP,,547,1.09,213.2,1.14,72%,144.7,0.75,0.16,0.07,0.06,37%,19%,15/78,24,410,361,88,36,35
222,allow DK,(+2),286,1.09,232.3,1.14,73%,143.6,0.8,0.2,0.19,0.14,22%,,0/14,24,228,200,56,55,40
223,ROOMPA NBG,(+3),341,1.09,201.3,1.08,72%,131.0,0.7,0.28,0.09,0.08,30%,21%,8/39,30,240,223,94,31,27
224,Babytz FS.SPH,,225,1.09,232.2,1.13,72%,147.5,0.79,0.22,0.12,0.08,17%,13%,3/24,23,177,157,49,28,18
225,Francis,(+1),253,1.09,238.4,1.1,70%,146.9,0.83,0.2,0.2,0.17,18%,22%,4/18,25,210,191,50,51,43
226,sym MxM,,351,1.09,256.3,1.14,74%,167.8,0.87,0.21,0.26,0.2,28%,12%,3/25,34,307,270,73,93,69
227,Famouz BME,,566,1.09,245.7,1.15,71%,157.1,0.83,0.2,0.18,0.15,21%,18%,8/44,27,471,411,113,103,87
228,xelouz Unde,,305,1.09,214.4,1.1,73%,140.8,0.77,0.44,0.07,0.08,32%,24%,10/41,27,236,214,133,21,24
229,xelA MIZ,,364,1.08,217.1,1.12,73%,140.4,0.76,0.19,0.19,0.13,24%,17%,5/30,21,278,249,68,68,46
230,Governor TTR,,248,1.08,230.6,1.07,74%,145.4,0.79,0.23,0.19,0.17,23%,25%,3/12,27,196,184,58,48,43
231,Yuno Veni,,423,1.08,230.4,1.16,70%,145.5,0.84,0.13,0.19,0.15,26%,20%,5/25,29,357,307,57,80,64
232,d1msumboi SILK,,362,1.08,209.8,1.16,75%,143.6,0.73,0.18,0.09,0.06,28%,16%,7/45,26,264,227,66,33,22
233,OXY G2,,525,1.08,248.9,1.13,73%,160.0,0.87,0.17,0.19,0.18,23%,17%,6/35,32,457,403,91,101,92
234,pyrolll TBD,(+1),238,1.08,194.5,1.09,74%,126.1,0.73,0.33,0.05,0.1,30%,14%,5/35,24,173,158,78,11,23
235,qRaxs FUT,(+1),228,1.08,205.9,1.04,77%,134.3,0.71,0.46,0.07,0.05,24%,32%,7/22,25,163,156,106,17,11
236,brawk MxM,,398,1.08,189.8,1.01,77%,126.4,0.65,0.44,0.05,0.05,22%,18%,8/44,21,260,258,174,18,18
237,Zimo,(+1),411,1.08,202.3,1.05,76%,131.6,0.7,0.43,0.06,0.07,32%,20%,10/51,26,288,275,176,24,30
238,krea6on TUN,(+4),362,1.08,242.0,1.13,67%,156.1,0.83,0.25,0.2,0.21,26%,18%,4/22,28,300,266,89,71,76
239,Aru,(+3),232,1.08,194.5,1.05,74%,124.6,0.68,0.38,0.04,0.07,32%,25%,8/32,25,157,150,88,10,16
240,luqz Rise,(+1),270,1.08,218.6,1.17,69%,143.7,0.8,0.23,0.04,0.06,35%,14%,7/51,25,216,185,63,12,16
241,KovaQ Siss,(+2),587,1.08,245.5,1.15,71%,161.0,0.85,0.22,0.14,0.12,31%,12%,5/41,31,501,436,130,85,69
242,r1zvaN PURP,(+2),524,1.08,220.8,1.12,75%,141.6,0.77,0.39,0.09,0.1,37%,19%,12/64,25,406,363,202,48,50
243,prozin Peit,(+2),334,1.08,207.4,1.04,72%,129.0,0.7,0.4,0.09,0.12,31%,26%,5/19,27,233,223,134,29,39
244,Hannah TK,(+1),367,1.08,233.8,1.2,70%,157.5,0.83,0.17,0.1,0.06,27%,5%,3/60,24,303,253,62,35,23
245,M4lyninja FLYM,(+1),229,1.08,198.5,1.18,77%,130.2,0.75,0.38,0.07,0.09,24%,22%,7/32,25,172,146,86,17,20
246,biazik MIBR.F,,244,1.08,244.0,1.1,75%,158.4,0.82,0.3,0.09,0.09,22%,16%,5/31,27,201,182,73,23,22
247,whzy Toe,,232,1.08,266.7,1.14,68%,169.0,0.93,0.15,0.22,0.16,22%,19%,3/16,28,216,189,34,50,38
248,Wild0reoo PHI,(+3),304,1.08,193.3,1.03,75%,124.0,0.68,0.36,0.06,0.08,26%,18%,7/40,20,206,200,109,19,25
249,Potter AAA,,410,1.08,247.3,1.2,68%,157.3,0.88,0.13,0.24,0.19,28%,15%,4/26,28,362,301,54,97,79
250,vaiZ INF,(+1),330,1.08,205.4,1.09,75%,135.4,0.73,0.38,0.08,0.07,24%,19%,11/57,26,242,223,125,25,24
251,TakaS M8,,269,1.08,247.3,1.16,70%,161.8,0.86,0.2,0.17,0.19,21%,14%,2/14,28,231,199,54,47,52
252,frontside RV,,263,1.08,196.3,1.1,75%,139.6,0.7,0.23,0.06,0.04,22%,10%,4/39,30,183,167,60,15,11
253,Crunchy BOBO,(+2),298,1.08,221.5,1.11,72%,142.2,0.77,0.31,0.11,0.07,28%,18%,7/39,25,229,206,91,34,22
254,DVDOV UNT,,411,1.08,201.9,1.17,76%,139.6,0.72,0.2,0.06,0.05,24%,16%,14/87,27,296,254,84,25,21
255,Lele Veni,(+4),366,1.08,242.1,1.14,72%,157.2,0.83,0.22,0.14,0.1,26%,9%,3/34,27,305,268,82,51,38
256,nate SKC,(+4),446,1.07,236.7,1.15,70%,153.5,0.83,0.18,0.16,0.14,30%,9%,5/55,26,371,322,80,71,61
257,MattZ FRCE,,244,1.07,222.8,1.12,67%,153.6,0.79,0.22,0.08,0.11,27%,24%,7/29,28,193,173,54,20,26
258,whitr,,240,1.07,219.7,1.1,70%,145.3,0.76,0.17,0.13,0.12,19%,37%,10/27,25,183,166,40,31,28
259,cryptX FIU,(+3),424,1.07,196.0,1.06,77%,133.9,0.67,0.4,0.03,0.03,23%,9%,7/82,22,285,270,169,13,12
260,TEAGUE TR,(+2),478,1.07,201.3,0.99,76%,127.4,0.68,0.53,0.09,0.1,19%,23%,10/43,26,325,329,254,42,50
261,bunt,(+1),528,1.07,179.7,1.04,78%,114.4,0.65,0.45,0.04,0.05,23%,16%,14/86,23,344,331,236,21,24
262,hfmi0dzjc9z7,(+2),528,1.07,224.4,1.09,71%,146.1,0.77,0.38,0.09,0.09,24%,17%,9/52,26,406,372,201,45,50
263,jakee C9,(+5),447,1.07,222.4,1.08,75%,146.9,0.8,0.35,0.13,0.09,27%,12%,6/50,35,357,330,156,56,42
264,Yuicaw FPX,,281,1.07,226.6,1.18,75%,148.8,0.78,0.19,0.17,0.13,34%,12%,3/26,25,218,185,53,47,37
265,aLerT XIA,(+1),287,1.07,217.3,1.11,71%,143.9,0.78,0.37,0.13,0.1,29%,20%,8/41,26,224,201,105,38,29
266,alexiiik,,293,1.07,235.1,1.08,64%,151.8,0.82,0.17,0.2,0.18,35%,19%,4/21,26,239,222,49,59,52
267,Conch PFlu,(+1),364,1.07,221.8,1.17,69%,141.4,0.8,0.16,0.16,0.11,30%,16%,8/50,22,290,247,59,60,39
268,ducT VIE,(+3),338,1.07,210.4,0.99,72%,132.4,0.72,0.54,0.05,0.06,24%,18%,7/40,22,243,246,184,18,19
269,skuba OXG,,465,1.07,193.5,1.07,75%,125.4,0.69,0.45,0.07,0.06,26%,14%,10/74,22,321,301,208,32,30
270,roca AI,,231,1.07,245.6,1.1,71%,160.7,0.84,0.2,0.16,0.16,26%,7%,1/15,26,195,177,46,38,36
271,kongared AAA,(+1),350,1.07,184.9,1.09,79%,120.0,0.69,0.36,0.06,0.04,29%,21%,5/24,24,241,221,127,20,14
272,sayoo INA,(+2),455,1.07,210.6,1.08,74%,134.3,0.73,0.31,0.1,0.11,28%,36%,16/44,29,333,309,139,45,48
273,wippie G2,(+1),525,1.07,195.3,1.07,75%,123.1,0.68,0.43,0.07,0.05,18%,22%,16/74,20,357,334,227,35,28
274,Ayumiii RRQ.K,(+1),315,1.07,239.1,1.14,75%,151.4,0.84,0.29,0.19,0.15,21%,17%,5/30,32,265,232,90,60,48
275,KPZET FKS,,326,1.07,210.2,1.06,71%,138.1,0.74,0.32,0.11,0.08,33%,15%,7/48,24,242,228,103,35,25
276,Boaster FNC,(+1),485,1.07,181.0,0.98,79%,110.5,0.62,0.44,0.08,0.12,21%,38%,9/24,20,303,309,211,41,56
277,Deryeon BLD,(+1),301,1.07,218.5,1.11,77%,141.0,0.78,0.38,0.15,0.11,25%,10%,3/30,26,234,211,115,46,34
278,Tara JJLF,(+2),272,1.07,177.5,1.07,78%,108.8,0.62,0.51,0.08,0.11,21%,27%,6/22,18,169,158,138,22,29
279,neT TGRD,,427,1.07,207.4,1.2,74%,143.8,0.76,0.15,0.11,0.06,30%,10%,5/50,30,324,269,66,45,25
280,SUYGETSU NAVI,(+1),318,1.07,202.3,1.16,76%,136.6,0.73,0.25,0.08,0.04,34%,13%,4/32,27,231,200,79,27,14
281,Draxii PHI,(+1),320,1.07,174.9,0.94,78%,109.6,0.59,0.48,0.07,0.05,23%,13%,4/32,15,189,202,152,22,15
282,Yoshiii SZ,(+3),283,1.07,210.2,0.98,72%,135.7,0.71,0.46,0.09,0.14,23%,17%,4/24,24,201,206,130,26,41
283,hvoya RGE,(+2),285,1.07,210.3,1.06,67%,139.1,0.74,0.33,0.05,0.07,29%,7%,2/30,24,211,199,95,15,20
284,no1syboy ARF,(+1),358,1.07,206.6,1.04,75%,132.5,0.72,0.34,0.06,0.07,22%,17%,6/35,22,257,246,121,23,25
285,KEREME inco,,440,1.07,209.6,1.21,73%,141.3,0.76,0.18,0.1,0.08,25%,11%,8/72,29,333,276,77,43,33
286,cauanzin LOUD,,440,1.06,210.7,1.08,75%,130.1,0.77,0.42,0.12,0.08,21%,25%,8/32,23,339,313,184,53,37
287,RockeT GK,,253,1.06,233.6,1.13,66%,150.1,0.83,0.12,0.19,0.18,25%,23%,3/13,22,210,186,31,48,46
288,Evilkyk Gala,(+2),434,1.06,214.0,1.04,76%,137.2,0.74,0.38,0.09,0.05,30%,10%,5/50,26,322,309,165,39,22
289,corey TSM,,378,1.06,224.1,1.15,71%,148.3,0.81,0.17,0.15,0.11,27%,13%,5/38,29,308,267,63,58,43
290,Papicam TMU.B,,204,1.06,232.7,1.04,72%,151.6,0.78,0.37,0.1,0.1,24%,15%,5/33,27,160,154,75,21,21
291,cortezia TBS,,358,1.06,219.4,1.04,77%,146.5,0.74,0.43,0.08,0.11,27%,18%,7/38,31,266,256,155,29,39
292,drakoNz,,514,1.06,210.3,1.13,69%,143.6,0.74,0.14,0.08,0.05,28%,14%,13/92,25,380,336,71,43,27
293,Estrella DK,(+4),286,1.06,186.9,0.98,77%,118.8,0.63,0.47,0.07,0.06,28%,14%,5/36,21,180,184,135,19,17
294,MiszłaW Just,(+1),229,1.06,198.2,1.06,72%,128.0,0.69,0.31,0.08,0.04,19%,5%,1/21,21,158,149,72,19,10
295,MrTenzouEz CGZ,(+1),227,1.06,222.8,1.08,73%,144.7,0.76,0.33,0.1,0.05,28%,3%,1/29,20,173,160,76,22,12
296,thief MxM,,351,1.06,193.0,0.97,75%,121.3,0.66,0.39,0.08,0.05,25%,22%,11/50,24,232,239,138,28,18
297,alvarxz QoR,,222,1.06,207.1,1.04,73%,140.2,0.73,0.32,0.08,0.06,25%,17%,5/29,23,162,156,71,18,13
298,frutta TK,,261,1.06,221.0,1.08,71%,150.7,0.76,0.23,0.06,0.06,29%,14%,6/44,23,199,184,60,16,16
299,Ninebody,,451,1.06,236.9,1.11,69%,152.8,0.81,0.22,0.17,0.17,22%,10%,4/41,25,367,332,98,75,76
300,starki CGN,,324,1.06,211.4,1.09,70%,134.1,0.75,0.31,0.08,0.08,33%,13%,4/32,29,242,222,99,25,25
301,Tuli 9z,,253,1.06,228.7,1.08,75%,153.6,0.79,0.28,0.23,0.17,24%,15%,2/13,21,200,186,70,58,42
302,CyvOph VLNT,(+2),222,1.06,208.0,1.02,77%,130.4,0.71,0.48,0.08,0.09,20%,12%,3/26,24,157,154,107,17,19
303,blaZek1ng BME,,566,1.06,210.3,1.07,71%,137.0,0.73,0.3,0.11,0.1,27%,14%,11/78,25,415,389,169,63,54
304,LAMMYSNAX AAA,(+2),410,1.06,209.1,1.04,75%,135.7,0.7,0.36,0.07,0.08,23%,16%,11/70,23,288,277,148,29,31
305,Depyro EGYPT,,273,1.06,189.3,0.97,73%,122.2,0.67,0.47,0.08,0.08,26%,11%,3/28,20,184,189,127,22,22
306,BandiCoot 6K,,267,1.06,201.8,1.08,72%,131.0,0.72,0.44,0.07,0.06,24%,21%,9/42,24,193,179,118,20,16
307,GuhRVN UNI,(+1),375,1.06,199.4,1.02,75%,126.8,0.67,0.45,0.07,0.05,27%,6%,2/35,25,252,247,169,27,19
308,zekken SEN,(+3),369,1.06,235.1,1.07,73%,156.7,0.79,0.33,0.11,0.11,26%,17%,7/42,29,290,270,121,41,42
309,sarahcat V1,(+1),389,1.06,203.6,1.04,75%,131.1,0.7,0.29,0.11,0.09,24%,36%,8/22,24,274,264,113,43,36
310,fletcher SILK,,362,1.06,184.6,1.04,78%,116.8,0.65,0.43,0.07,0.06,31%,13%,5/40,19,237,227,154,25,23
311,McKonsti EYG,,333,1.06,200.0,1.11,77%,141.0,0.69,0.2,0.07,0.06,20%,20%,11/55,28,231,209,68,22,19
312,CLZ FL,(+1),364,1.06,210.1,1.1,74%,137.6,0.74,0.23,0.12,0.12,20%,9%,3/32,25,270,245,82,42,42
313,BeomJun T1,(+2),342,1.06,217.4,1.02,68%,137.5,0.73,0.27,0.12,0.11,19%,15%,7/46,28,249,244,92,40,36
314,noumit BBC,,346,1.06,206.3,1.14,73%,135.8,0.72,0.18,0.07,0.08,23%,9%,4/43,24,248,218,63,25,26
315,Mazino LEV,(+1),331,1.06,206.2,1.06,73%,129.0,0.73,0.42,0.13,0.08,26%,11%,2/18,22,241,227,140,43,28
316,Soto KS,,267,1.06,226.3,1.18,70%,156.4,0.81,0.14,0.12,0.09,33%,9%,3/34,28,217,184,37,32,24
317,kugio UNT,(+2),411,1.06,223.0,1.1,74%,148.7,0.78,0.36,0.1,0.1,29%,3%,1/29,28,319,291,147,40,42
318,maizi ME,,332,1.06,220.5,1.12,72%,149.7,0.78,0.26,0.05,0.07,27%,12%,5/42,27,260,233,86,17,24
319,reazy S2G,(+2),360,1.06,197.1,1.1,74%,137.2,0.7,0.3,0.04,0.06,29%,14%,6/43,30,252,230,108,16,21
320,lowel TQ,(+1),211,1.06,188.6,1.08,72%,120.0,0.68,0.44,0.05,0.06,25%,8%,3/36,22,143,132,92,11,13
321,shonk YFP,(+1),236,1.06,186.2,1.08,72%,119.1,0.68,0.37,0.06,0.07,40%,30%,3/10,20,161,149,87,13,17
322,Belyaks1 RV,(+2),569,1.05,202.2,1.02,78%,135.1,0.7,0.31,0.07,0.09,23%,25%,15/59,27,396,387,176,37,51
323,Tacolilla LEV,,331,1.05,209.1,1.03,68%,127.4,0.7,0.19,0.19,0.17,17%,22%,5/23,22,232,225,63,62,55
324,stepa Capy,,306,1.05,202.3,1.06,69%,134.8,0.72,0.18,0.08,0.13,29%,27%,12/44,33,221,208,55,25,39
325,RvK OGS,(+2),215,1.05,183.3,1.02,78%,117.7,0.6,0.33,0.07,0.07,31%,14%,3/21,18,129,126,72,15,16
326,krain VKS,(+1),495,1.05,196.6,1.04,76%,127.7,0.68,0.41,0.08,0.07,26%,11%,6/57,25,337,324,201,40,37
327,Momiji Blinn,,372,1.05,214.8,1.11,72%,142.4,0.74,0.2,0.1,0.1,24%,19%,8/43,29,275,248,75,36,36
328,gMd TSM,(+1),378,1.05,198.5,1.03,77%,131.4,0.71,0.41,0.1,0.09,29%,8%,3/39,30,270,261,156,36,35
329,nickszxz,(+2),286,1.05,197.6,0.96,72%,128.7,0.68,0.41,0.06,0.07,24%,19%,5/27,18,195,203,117,18,19
330,SiuFatBB,,261,1.05,210.9,1.08,70%,139.6,0.74,0.21,0.13,0.11,30%,13%,5/40,22,192,177,56,34,30
331,byrf INF,,330,1.05,207.8,1.02,75%,133.9,0.72,0.45,0.08,0.05,27%,5%,2/38,22,238,234,147,25,18
332,Pa1nt VRA,(+1),304,1.05,234.4,1.02,69%,152.7,0.78,0.24,0.14,0.19,22%,30%,6/20,27,238,233,73,43,59
333,Hate CGZ,(+1),342,1.05,207.8,1.09,76%,139.7,0.76,0.35,0.06,0.06,33%,18%,7/39,30,259,238,118,20,22
334,NakJi WGS,,342,1.05,193.9,0.96,75%,127.1,0.65,0.47,0.06,0.06,25%,25%,13/52,27,224,234,160,22,19
335,welyy Stas,,268,1.05,183.4,0.91,73%,121.0,0.6,0.41,0.05,0.06,21%,19%,9/47,18,160,175,109,13,17
336,AtaKaptan FUT,(+1),228,1.05,189.3,1.09,75%,118.4,0.7,0.35,0.06,0.08,29%,23%,5/22,20,159,146,79,13,18
337,GLYPH SILK,(+5),717,1.05,220.0,1.11,75%,147.4,0.76,0.31,0.09,0.09,21%,12%,9/74,39,546,494,221,64,68
338,Azulite,,275,1.05,193.6,1.05,75%,129.7,0.71,0.29,0.05,0.06,22%,20%,7/35,24,194,185,81,13,17
339,P1nA VIE,(+1),367,1.05,191.2,1.02,73%,125.1,0.69,0.46,0.06,0.1,34%,14%,7/49,25,255,249,170,21,35
340,neptuNo TQ,(+1),211,1.05,181.1,0.95,75%,114.4,0.64,0.45,0.09,0.09,24%,11%,3/28,17,135,142,95,18,19
341,YuChEn FPX,,281,1.05,187.6,1.03,79%,125.1,0.66,0.36,0.07,0.08,29%,23%,8/35,19,185,180,101,20,23
342,berLIN FPX,(+2),281,1.05,200.4,1.03,71%,125.5,0.7,0.4,0.1,0.09,31%,9%,2/23,22,197,191,113,27,25
343,nTK BAAM,,338,1.05,206.9,1.06,70%,138.9,0.72,0.27,0.12,0.07,25%,18%,9/51,22,244,230,91,41,22
344,icy 99S,(+2),396,1.05,237.1,1.09,71%,151.0,0.83,0.18,0.19,0.17,22%,22%,8/37,27,328,302,70,77,66
345,TiGG FaZe,(+1),200,1.05,202.8,1.01,70%,130.4,0.74,0.33,0.06,0.09,23%,19%,5/27,27,147,146,65,11,18
346,GangPin IGZ,(+1),228,1.05,193.7,0.99,75%,132.6,0.67,0.35,0.09,0.07,27%,10%,3/31,20,152,154,79,21,15
347,ShahZaM G2,(+1),525,1.04,195.9,1.01,76%,127.4,0.67,0.38,0.07,0.07,26%,18%,11/61,21,353,349,201,35,38
348,ntk UNI,,375,1.04,191.2,0.98,75%,125.0,0.63,0.44,0.06,0.07,21%,8%,3/38,20,238,242,164,22,25
349,Soop,(+2),275,1.04,200.5,1.03,73%,127.9,0.69,0.38,0.07,0.08,23%,9%,3/34,23,191,185,105,18,23
350,pho YFP,(+2),231,1.04,199.1,1.08,68%,137.0,0.7,0.25,0.1,0.08,25%,9%,2/22,25,161,149,58,23,18
351,tricky GDR,,280,1.04,228.5,1.18,68%,145.4,0.86,0.14,0.18,0.19,26%,17%,6/36,39,240,204,39,50,52
352,pAura S2G,(+2),360,1.04,216.9,1.06,71%,137.0,0.74,0.21,0.15,0.16,32%,26%,6/23,24,266,252,76,54,59
353,flainzz SH,,495,1.04,193.6,1.04,72%,132.3,0.68,0.19,0.06,0.06,22%,24%,21/89,27,336,324,94,30,31
354,hiroronn FL,,364,1.04,211.4,1.17,72%,135.1,0.77,0.17,0.11,0.1,26%,24%,11/46,25,282,242,61,40,37
355,wPanda MIZ,,364,1.04,215.4,1.03,71%,139.8,0.74,0.37,0.09,0.06,29%,10%,5/52,31,269,261,134,34,22
356,Xdll FL,(+2),364,1.04,213.0,1.05,75%,142.8,0.74,0.32,0.08,0.1,22%,13%,4/32,27,270,258,116,29,36
357,Asuna 100T,(+3),337,1.04,206.8,0.94,74%,137.5,0.69,0.44,0.09,0.1,22%,21%,6/28,26,234,250,149,32,33
358,4Tapping SCC.V,(+2),289,1.04,179.1,0.95,74%,124.3,0.61,0.4,0.06,0.1,18%,21%,5/24,18,177,186,116,18,29
359,Jlerst FF,,504,1.04,196.2,1.05,77%,123.7,0.7,0.37,0.08,0.05,33%,11%,7/66,27,355,339,187,42,25
360,Xan ENGM,,244,1.04,251.7,1.08,71%,165.7,0.88,0.2,0.2,0.17,22%,27%,4/15,27,214,198,49,49,41
361,viness VIE,,438,1.04,218.7,1.03,73%,140.8,0.76,0.37,0.09,0.09,27%,13%,8/64,27,332,322,163,39,40
362,bezn1 00,,229,1.04,221.7,1.09,72%,149.6,0.77,0.21,0.13,0.12,21%,11%,3/27,27,176,161,49,30,28
363,Jamppi TL,,209,1.04,201.6,1.06,70%,131.9,0.71,0.41,0.08,0.06,28%,42%,8/19,26,148,140,86,16,12
364,ALEKSANDAR YFP,,236,1.04,218.8,1.13,70%,142.0,0.76,0.17,0.18,0.16,38%,,0/14,22,180,160,39,43,38
365,duck KS,,231,1.04,191.8,1.03,75%,131.4,0.69,0.35,0.04,0.06,26%,10%,3/30,22,159,155,82,10,14
366,alain 325,,206,1.04,174.9,1.06,78%,115.2,0.65,0.23,0.03,0.02,33%,7%,2/27,21,134,127,47,7,5
367,Poly FS.SPH,(+2),225,1.04,203.0,0.99,75%,126.1,0.72,0.48,0.07,0.07,32%,17%,3/18,21,162,164,107,15,15
368,crazyguy VIE,,364,1.04,208.6,1.07,76%,139.1,0.72,0.36,0.09,0.11,23%,26%,9/35,22,263,245,131,31,39
369,vascalizz ARF,,358,1.04,196.7,1.04,75%,132.7,0.7,0.3,0.04,0.06,27%,13%,5/40,24,250,241,109,14,20
370,Yifang LGC,(+3),214,1.04,205.4,0.99,72%,129.7,0.7,0.4,0.08,0.07,24%,29%,5/17,24,149,150,86,17,16
371,Lilo ARF,,358,1.04,247.6,1.06,70%,155.6,0.82,0.2,0.3,0.25,27%,15%,4/27,27,294,278,72,107,91
372,wayLander GK,,253,1.04,201.9,1.01,72%,135.1,0.7,0.34,0.08,0.12,27%,14%,3/21,20,176,175,86,19,30
373,OuTLaW SA,,388,1.04,201.5,1.01,74%,136.2,0.7,0.36,0.06,0.09,28%,27%,8/30,23,272,268,141,25,33
374,Kiles CASE,(+1),478,1.04,194.8,1.08,70%,135.1,0.7,0.19,0.09,0.06,31%,10%,7/73,29,333,307,90,43,30
375,MAGNUM APK,,207,1.04,216.7,1.15,72%,144.1,0.76,0.17,0.11,0.12,25%,25%,4/16,24,157,137,35,22,25
376,Karra COL,(+4),565,1.04,200.4,1.01,74%,126.2,0.71,0.45,0.09,0.07,30%,8%,5/59,24,400,398,252,51,42
377,Coffee TU,,422,1.04,225.2,1.07,69%,149.1,0.77,0.21,0.13,0.1,20%,15%,8/53,24,325,304,88,53,42
378,GON CGZ,(+1),227,1.03,181.5,1.03,74%,120.1,0.65,0.38,0.06,0.07,31%,6%,2/31,22,148,143,87,13,15
379,arbie RN,,201,1.03,208.3,0.99,71%,131.9,0.73,0.44,0.07,0.11,28%,,0/16,30,146,147,89,15,23
380,oitaN IGZ,,228,1.03,195.3,1.01,68%,138.5,0.67,0.25,0.06,0.09,24%,8%,2/26,22,152,150,57,13,21
381,stax DRX,(+2),276,1.03,190.3,1.01,70%,122.1,0.66,0.33,0.08,0.09,27%,31%,8/26,21,183,182,90,22,24
382,Melser KRÜ,(+1),241,1.03,203.1,0.97,74%,131.2,0.69,0.37,0.08,0.07,31%,13%,4/30,21,167,172,90,20,16
383,flowerful SR.GC,,262,1.03,196.5,1.11,76%,137.2,0.71,0.19,0.08,0.06,25%,26%,12/47,30,186,168,51,20,15
384,Bia DLR,,298,1.03,191.1,0.98,77%,122.6,0.66,0.45,0.07,0.07,21%,8%,3/37,28,196,200,135,20,21
385,valyn TGRD,(+1),427,1.03,187.8,0.99,73%,121.1,0.64,0.4,0.09,0.08,24%,29%,12/42,25,273,277,170,38,33
386,Fit1nho GIA,,201,1.03,206.7,1.06,72%,138.5,0.73,0.28,0.18,0.11,29%,,0/12,29,146,138,57,37,23
